sample_size,n_trials,pop_id,estimation_method,point_estimate,ci_method,ci_alpha,coverage_probability,true_beta,ev_beta,median_beta,bias,percent_bias,empirical_variance_beta,empirical_sd_beta,mse,mcse
25,1000,523582794_4.952,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,4.952,5.35565695811888,5.346724542839302,0.4095343843789553,8.151392530672052,0.246595444541168,0.4965837739406796,0.40928778893441436,0.015703357747347158
25,1000,1910492159_4.999,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,4.9990000000000006,5.341374960548359,5.33064440293327,0.3513467118864938,6.848868984764134,0.23412609827600367,0.48386578539508623,0.35111258578821786,0.015301179636747085
25,1000,1928703996_5.065,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.0649999999999995,5.352055238686037,5.344718060191557,0.32492766683386115,5.667428207029368,0.2425269567767631,0.49247025978911974,0.3246851398770846,0.015573277008284515
25,1000,1222328524_5.112,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.112,5.344847302256302,5.326570794439466,0.2988109017523649,4.554915928331416,0.24459303558432713,0.49456347983279875,0.2985663087167806,0.015639470438103945
25,1000,127733165_5.172,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.172000000000001,5.375439860213403,5.353516877064179,0.2767902407416512,3.933485309617213,0.23540246401800258,0.48518291810203146,0.27655483827763316,0.015342831030093585
25,1000,836169130_5.174,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.1739999999999995,5.343683655231809,5.310782481447474,0.25468956711794827,3.279544940699841,0.22589702426512076,0.47528625507700173,0.2544636700936832,0.015029871066150925
25,1000,1391808131_5.253,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.253,5.329920621615431,5.317679725575726,0.2384021196473163,1.4643179443257326,0.23248533761761206,0.48216733362766506,0.23816963430969862,0.01524746987593719
25,1000,1586431781_5.289,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.289,5.369955776175893,5.348236291860614,0.23798126348113033,1.5306442839079892,0.23142742578488892,0.4810690447169605,0.23774983605534536,0.015212738931069874
25,1000,1463422767_5.355,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.355,5.364242156571385,5.340425682919513,0.24973656600166153,0.17258929171586335,0.24965114854357154,0.49965102676125017,0.24948691485311797,0.015800352798072945
25,1000,1453238298_5.368,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.368,5.355654752140789,5.319643871889445,0.2387121596438951,-0.22997853687055647,0.23855975449918976,0.48842579221330007,0.23847359988939593,0.015445379713661616
25,1000,947900364_5.376,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.3759999999999994,5.335494016217512,5.317209521097711,0.23118016507382805,-0.7534595197635219,0.22953943035164096,0.47910273465264314,0.23095062564347646,0.015150558747176322
25,1000,983682871_5.384,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.384,5.323256128876046,5.3044290988287655,0.2442619764124501,-1.128229404233927,0.24057215853332647,0.4904815577912451,0.24402140425391677,0.015510388729278403
